序号,刊名,收录,2023IF,JCR分区,中科院分区
302 ,INFANT MENTAL HEALTH JOURNAL,SSCI,2.1 ,Q3,3区
303 ,Collabra-Psychology,SSCI,3.1 ,Q1,3区
304 ,Brain and Behavior,#N/A,#N/A,#N/A,3区
305 ,MOTIVATION AND EMOTION,SSCI,1.7 ,Q3,3区
306 ,Human Arenas,ESCI,1.1 ,Q3,3区
307 ,GENES BRAIN AND BEHAVIOR,#N/A,#N/A,#N/A,3区
308 ,ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,SSCI,2.1 ,Q3,3区
309 ,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,SSCI,2.2 ,Q3,3区
310 ,AUSTRALIAN PSYCHOLOGIST,SSCI,2.0 ,Q2,3区
311 ,BEHAVIOURAL BRAIN RESEARCH,#N/A,#N/A,#N/A,3区
312 ,COGNITIVE NEUROPSYCHOLOGY,SSCI,2.6 ,Q2,3区
313 ,SOCIAL DEVELOPMENT,SSCI,1.6 ,Q3,3区
314 ,Journal of Child and Family Studies,SSCI,1.6 ,Q3,3区
315 ,European Journal of Developmental Psychology,SSCI,1.9 ,Q3,3区
316 ,GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE,SSCI,1.8 ,Q3,3区
317 ,JOURNAL OF PSYCHOTHERAPY INTEGRATION,ESCI,1.8 ,Q3,3区
318 ,Counselling Psychology Quarterly,ESCI,1.6 ,Q3,3区
319 ,Applied Developmental Science,SSCI,1.7 ,Q3,3区
320 ,JOURNAL OF EMPLOYMENT COUNSELING,SSCI,1.6 ,Q3,4区
321 ,INFANT BEHAVIOR & DEVELOPMENT,SSCI,1.9 ,Q3,4区
322 ,Psychological Services,SSCI,1.9 ,Q3,4区
323 ,Journal of Cultural Cognitive Science,ESCI,1.3 ,Q4,4区
324 ,VISUAL COGNITION,SSCI,1.7 ,Q3,4区
325 ,Journal of Theoretical Social Psychology,ESCI,2.3 ,Q2,4区
326 ,CHILD & YOUTH CARE FORUM,SSCI,1.7 ,Q3,4区
327 ,Judgment and Decision Making,SSCI,1.9 ,Q2,4区
328 ,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,SSCI,1.5 ,Q4,4区
329 ,Psychology of Consciousness-Theory Research and Practice,ESCI,1.4 ,Q4,4区
330 ,BRAIN BEHAVIOR AND EVOLUTION,#N/A,#N/A,#N/A,4区
331 ,CHILD NEUROPSYCHOLOGY,#N/A,#N/A,#N/A,4区
332 ,Childhood in the Past,#N/A,#N/A,#N/A,4区
333 ,LEARNING & BEHAVIOR,SSCI,1.9 ,Q2,4区
